date,netPnl,slippage,commission,turnover,tradeCount,tradingPnl,positionPnl,totalPnl,balance,return,retWithoutFee,highlevel,drawdown,ddPercent
2015-06-19,13680.0,0.0,0.0,0.0,0,0.0,13680.0,13680.0,15055.809000000008,13.68,13.68,15055.809000000008,0.0,0.0
2015-06-23,-5312.000000000007,0.0,0.0,0.0,0,0.0,-5312.000000000007,-5312.000000000007,9743.809000000001,-5.312000000000007,-5.312000000000007,15055.809000000008,-5312.000000000007,-35.28206289014429
2015-06-24,-5095.999999999985,0.0,0.0,0.0,0,0.0,-5095.999999999985,-5095.999999999985,4647.809000000016,-5.095999999999986,-5.095999999999986,15055.809000000008,-10407.999999999993,-69.12946358445426
2015-06-25,10840.0,0.0,0.0,0.0,0,0.0,10840.0,10840.0,15487.809000000016,10.84,10.84,15487.809000000016,0.0,0.0
2015-06-26,14992.000000000007,0.0,0.0,0.0,0,0.0,14992.000000000007,14992.000000000007,30479.809000000023,14.992000000000008,14.992000000000008,30479.809000000023,0.0,0.0
2015-06-29,7927.999999999993,0.0,0.0,0.0,0,0.0,7927.999999999993,7927.999999999993,38407.809000000016,7.927999999999993,7.927999999999993,38407.809000000016,0.0,0.0
2015-06-30,-14687.999999999993,0.0,0.0,0.0,0,0.0,-14687.999999999993,-14687.999999999993,23719.809000000023,-14.687999999999994,-14.687999999999994,38407.809000000016,-14687.999999999993,-38.24222308541471
2015-07-01,12895.999999999985,0.0,0.0,0.0,0,0.0,12895.999999999985,12895.999999999985,36615.80900000001,12.895999999999985,12.895999999999985,38407.809000000016,-1792.0000000000073,-4.665717849200944
2015-07-02,-2840.0,0.0,0.0,0.0,0,0.0,-2840.0,-2840.0,33775.80900000001,-2.84,-2.84,38407.809000000016,-4632.000000000007,-12.060047476282767
2015-07-03,7927.999999999993,0.0,0.0,0.0,0,0.0,7927.999999999993,7927.999999999993,41703.809,7.927999999999993,7.927999999999993,41703.809,0.0,0.0
2015-07-06,-4351.999999999989,0.0,0.0,0.0,0,0.0,-4351.999999999989,-4351.999999999989,37351.80900000001,-4.351999999999989,-4.351999999999989,41703.809,-4351.999999999993,-10.435497630444242
2015-07-07,13751.999999999989,0.0,0.0,0.0,0,0.0,13751.999999999989,13751.999999999989,51103.808999999994,13.751999999999988,13.751999999999988,51103.808999999994,0.0,0.0
2015-07-08,9336.000000000004,0.0,0.0,0.0,0,0.0,9336.000000000004,9336.000000000004,60439.808999999994,9.336000000000004,9.336000000000004,60439.808999999994,0.0,0.0
2015-07-09,-13863.999999999996,0.0,0.0,0.0,0,0.0,-13863.999999999996,-13863.999999999996,46575.808999999994,-13.863999999999997,-13.863999999999997,60439.808999999994,-13864.0,-22.938523846096206
2015-07-10,-14264.000000000015,0.0,0.0,0.0,0,0.0,-14264.000000000015,-14264.000000000015,32311.80899999998,-14.264000000000015,-14.264000000000015,60439.808999999994,-28128.000000000015,-46.53886315226446
2015-07-13,3248.000000000011,0.0,0.0,0.0,0,0.0,3248.000000000011,3248.000000000011,35559.808999999994,3.248000000000011,3.248000000000011,60439.808999999994,-24880.0,-41.16492161647963
2015-07-14,3352.0000000000073,0.0,0.0,0.0,0,0.0,3352.0000000000073,3352.0000000000073,38911.809,3.3520000000000074,3.3520000000000074,60439.808999999994,-21527.999999999993,-35.61890806107609
2015-07-15,5727.999999999993,0.0,0.0,0.0,0,0.0,5727.999999999993,5727.999999999993,44639.808999999994,5.727999999999993,5.727999999999993,60439.808999999994,-15800.0,-26.14171067284478
2015-07-16,-5983.999999999996,0.0,0.0,0.0,0,0.0,-5983.999999999996,-5983.999999999996,38655.808999999994,-5.983999999999996,-5.983999999999996,60439.808999999994,-21784.0,-36.0424699555222
2015-07-17,-3296.0000000000036,0.0,0.0,0.0,0,0.0,-3296.0000000000036,-3296.0000000000036,35359.808999999994,-3.296000000000004,-3.296000000000004,60439.808999999994,-25080.0,-41.49582934651564
2015-07-20,5616.000000000004,0.0,0.0,0.0,0,0.0,5616.000000000004,5616.000000000004,40975.808999999994,5.616000000000003,5.616000000000003,60439.808999999994,-19464.0,-32.20394028710448
2015-07-21,-760.0,0.0,0.0,0.0,0,0.0,-760.0,-760.0,40215.808999999994,-0.76,-0.76,60439.808999999994,-20224.0,-33.46138966124132
2015-07-22,952.0000000000073,0.0,0.0,0.0,0,0.0,952.0000000000073,952.0000000000073,41167.809,0.9520000000000073,0.9520000000000073,60439.808999999994,-19271.999999999993,-31.8862688662699
2015-07-23,-6198.763200000014,0.44,182.3232,364646.4,2,3528.0,-9544.000000000015,-6016.000000000015,34969.045799999985,-6.198763200000014,-6.016000000000014,60439.808999999994,-25470.76320000001,-42.14236216398369
2015-07-24,-8236.800000000017,0.0,0.0,0.0,0,0.0,-8236.800000000017,-8236.800000000017,26732.245799999968,-8.236800000000018,-8.236800000000018,60439.808999999994,-33707.563200000026,-55.770466117786754
2015-07-27,-6844.766999999996,0.51,191.457,382914.0,2,10838.399999999987,-17491.199999999983,-6652.799999999996,19887.47879999997,-6.8447669999999965,-6.652799999999996,60439.808999999994,-40552.330200000026,-67.0953976707637
2015-07-28,-334.7999999999902,0.0,0.0,0.0,0,0.0,-334.7999999999902,-334.7999999999902,19552.67879999998,-0.33479999999999016,-0.33479999999999016,60439.808999999994,-40887.130200000014,-67.64933721084397
